Label,Zustand,Characteristic,Mean,Min,Max,Std
anomalie,0.0,ax,-0.11461914704632384,-1.984375,1.999939,0.5825584437789819
anomalie,0.0,ay,0.003134950276243086,-1.984375,1.999939,0.6450867051023417
anomalie,0.0,az,0.251247604759881,-1.984375,1.999939,0.38932958620595526
anomalie,0.0,gx,7.55669395877603,-249.839691,250.129776,67.50840259787613
anomalie,0.0,gy,4.7865353714407135,-248.183212,250.129776,66.80244821295915
anomalie,0.0,gz,2.1837317212069705,-248.183212,250.129776,69.74201804058542
anomalie,1.0,ax,-0.09897006582077714,-1.984375,1.999939,0.6675349848214028
anomalie,1.0,ay,-0.11302153766851704,-1.984375,1.999939,0.6976526495926916
anomalie,1.0,az,0.23195991911181604,-1.984375,1.999939,0.6066887534487344
anomalie,1.0,gx,14.289474144131642,-249.496185,250.129776,92.24955269679752
anomalie,1.0,gy,-4.007845591593974,-248.183212,250.129776,93.1388155779066
anomalie,1.0,gz,7.369157661578111,-249.35878,250.129776,96.91337934125728
